Provinsi,Kategori,Nama Usaha,Alamat Usaha,Nomor Telepon,Email,Website
JAWA TENGAH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RSU PURBOWANGI,"DK KARANG MALANG RT. 04/RW. 01, PURBOWANGI, KEC. BUAYAN 54474",0287-471080,,
JAWA TENGAH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RSUD DR SOEDIRMAN,"JL LINGKAR SELATAN RT. 02/RW. 03, MUKTISARI, KEC. KEBUMEN 54351",0287-381101; 0287-385274,,
JAWA TENGAH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RUMAH SAKIT PALANG BIRU,"JL GEREJA RT. 04/RW. 03, GOMBONG, KEC. GOMBONG 54411",0287-471762; 0287-473221,,
JAWA TENGAH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RUMAH SAKIT PALANG BIRU GOMBONG,"JL KARTINI GOMBONG RT. 03/RW. 03, GOMBONG, KEC. GOMBONG 54411",0287-471290; 0287-473221,,
JAWA TENGAH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RUMAH SAKIT PERMATA MEDIKA,"JL INDRAKILA NO 17 RT. 08/RW. 01, KEBUMEN, KEC. KEBUMEN 54312",0287-3870779; 0287-384418,,
JAWA TENGAH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RUMAH SAKIT PURWOGONDO,"DK PURWOGONDO RT. 04/RW. 05, KALIPURWO, KEC. KUWARASAN 54366",0287-472588,rsu.purwogondo@yahoo.co.id,
JAWA TENGAH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RUMAH SAKIT WIJAYA KUSUMA,"JL GELATIK NO 1 PANJER RT. 03/RW. 06, PANJER, KEC. KEBUMEN 54312",0287-381954,,
JAWA TENGAH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,"GRAHA HUSADA MEDIKA, PD","JL JENDERAL SUDIRMAN NO 22 RT. 01/RW. 07, PANGENJURU TENGAH, KEC. PURWOREJO 54114",0275-321663,,
JAWA TENGAH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,KLINIK BHARA MEDIKA,"JL KUTOARDO KEBUMEN KM 6 RT. 03/RW. 06, BUTUH, KEC. BUTUH 54264",085799091511,,
JAWA TENGAH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,PKU MUHAMMADIYAH KOTA,"JL KAUMAN NO 6 RT. 04/RW. 08, KUTOARJO, KEC. KUTOARJO 54212",0275-642439; 0275-642387,pkukutoarjo@yahoo.com,
JAWA TENGAH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RS PALANG BIRU KUTOARJO,"JL MARDITOMO 17 RT. 01/RW. 09, KUTOARJO, KEC. KUTOARJO 54212",0275-641425; 0275-642560,rsbp_kta@yahoo.com,www.rspbk.or.id
JAWA TENGAH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RS PANTI WALUYO,"JL A YANI NO 21 RT. 05/RW. 10, PURWOREJO, KEC. PURWOREJO 54111",0275-322096; 0275-322096,pantiwaluyopwr@yahoo.com,
JAWA TENGAH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RS PKU MUHAMMADIYAH PURWOREJO,"JL BRIGJEN KATAMSO NO 144 A RT. 01/RW. 05, PANGENREJO, KEC. PURWOREJO 54115",0275-325260; 0275-324776,,
JAWA TENGAH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RSIA ANANDA,"SUCENJURU TENGAH, KEC. BAYAN",08131288761,,
JAWA TENGAH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RSIA KASIH IBU,"JL MAYJEN SUTOYO NO 14 RT. 03/RW. 10, PANGENJURU TENGAH, KEC. PURWOREJO 54114 info@rsiakasihibu",0275-321253; 0275-324907,,www.rsiakasihibu.com
JAWA TENGAH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RUMAH SAKIT PURWA HUSADA,"JL GAJAH MADA KM 4 RT. 01/RW. 01, CANDISARI, KEC. BANYU URIP 54171",0275-321998,,
JAWA TENGAH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,"PRODIA WIDYAHUSADA, PT","JL KAUMAN NO 15 KAUMAN SELATAN RT. 10/RW. 13, WONOSOBO TIMUR, KEC. WONOSOBO 56311",0286-325275,,
JAWA TENGAH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RS PKU MUHAMMADIYAH WONOSOBO,"JL GATOT SUBROTO RT. 15/RW. 05, SUDUNGDEWO, KEC. KERTEK 56371",0286-329185; 0286-3320212,pkuwsb@yahoo.co.id,
JAWA TENGAH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RSUD SETIONEGORO,"JL SETIONEGORO NOS RT. 09/RW. 04, WONOSOBO BARAT, KEC. WONOSOBO 56311",08122995670,,
JAWA TENGAH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RUMAH SAKIT IBU DAN ANAK ADINA,"JL PASUKAN RONGGOLAWE NO 24 RT. 06/RW. 15, WONOSOBO TIMUR, KEC. WONOSOBO 56311",0286-322468 Ext: 101; 0286-325391,rsiaadina@yahoo.co.id,
JAWA TENGAH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RUMAH SAKIT ISLAM WONOSOBO,"JL S PARMAN KM 03 MENDOLO RT. 04/RW. 01, BUMIRESO, KEC. WONOSOBO 56317",0281-34088626,,
JAWA TENGAH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,PELAYANAN KESEHATAN OBS GROUP,"RUKO VALENCIA BLOK B 6 RT. 10/RW. 01, MERTOYUDAN, KEC. MERTOYUDAN 56172",,,
JAWA TENGAH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RS IBU DAN ANAK,"JL KHA DAHLAN NO 14 RT. 01/RW. 05, PUCUNGREJO, KEC. MUNTILAN 56414",0293-587723; 0293-587372,rsia.muntilan@gmail.com,
JAWA TENGAH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RSU MUNTILAN,"JL KARTINI NO 13 RT. 01/RW. 08, MUNTILAN, KEC. MUNTILAN 56411",0293-587004,,
JAWA TENGAH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RUMAH SAKIT GUMUK WALIK MEDIKA,"REJOSARI 1 RT. 01/RW. 01, GRABAG, KEC. GRABAG 56196",,,
JAWA TENGAH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RUMAH SAKIT N 21 GEMILANG,"JL PONDOK PABELAN NO 5 RT. 03/RW. 14, PABELAN, KEC. MUNGKID 56551",0293-782108; 0293-782140,,
JAWA TENGAH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RS DR O EN SAWIT,"PUKUH TEGAL ARUM RT. 22/RW. 01, KATEGUHAN, KEC. SAWIT 57344",0271-782420,,
JAWA TENGAH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RS KARANGGEDE SISMA MEDIKA,"JL RAYA KARANGGEDE SOLO KM 01 RT. 01/RW. 02, KEBONAN, KEC. KARANGGEDE 57381",,,
JAWA TENGAH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RS MILLA HUSADA,"DK BANTULAN RT. 01/RW. 01, JEMBUNGAN, KEC. BANYUDONO 57373",0276-327453; 0276-721027,,
JAWA TENGAH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RSB NATALIA,"JL TERATAI NO 1 5 RT. 03/RW. 06, PULISEN, KEC. BOYOLALI 57316",0276-325302,,
JAWA TENGAH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RSI BANHU BENING,"DK NGARGOREJO RT. 01/RW. 03, NGARGOREJO, KEC. NGEMPLAK 57375",0276-320088,,
JAWA TENGAH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RSUD PANDANARANG BOYO LALI,"JL KANTIL 14 RT. 05/RW. 09, PULISEN, KEC. BOYOLALI 57316",0276-321065,,
JAWA TENGAH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RSUD SIMO,"JL KEBON IJO RT. 09/RW. 03, SIMO, KEC. SIMO",,,
JAWA TENGAH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RUMAH SAKIT AL HIDAYAH,"DK RECOSARI RT. 02/RW. 04, KRAGILAN, KEC. MOJOSONGO 57371",,,
JAWA TENGAH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RUMAH SAKIT PKU AISYIYAH BOYOLALI,"KP TEGAL MULYO RT. 06/RW. 05, KARANGGENENG, KEC. BOYOLALI 57312",0276-3293400,,
JAWA TENGAH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RUMAH SAKIT UMUM UMI BAROKAH,"JL PROF SOEHARSO NO 6 RT. 05/RW. 05, KIRINGAN, KEC. BOYOLALI 57314",0276-321452,rsumbarokahog@gmail.com,
JAWA TENGAH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,APOTIK SIDOWAYAH,"JL PEMUDA NO 156 RT. 02/RW. 07, KABUPATEN, KEC. KLATEN TENGAH 57413",0272-322219,,
JAWA TENGAH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,BK PM KLATEN,"TEGALYOSO KLATEN SELATAN KLATEN RT. 15/RW. 06, TEGALYOSO, KEC. KLATEN SELATAN 57424",0272-321158,,
JAWA TENGAH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,DISTRIBUTOR NUTRISI <IRFAN MODUTOO>,"JL MONDOKAKI DK REJOSARI RT. 05/RW. 07, SABRANG, KEC. DELANGGU 57471",085729849973,emoodutolaol79@gmail.com,
JAWA TENGAH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,JAMINAN PEMELIHARAAN KESEHATAN MASYARAKAT,"PERUM GRIYA PRIMA TIMUR NO 469, BELANG WETAN, KEC. KLATEN UTARA",0272-320256,,
JAWA TENGAH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,KLINIK PMI,"JL VETERAN NO 80 RT. 01/RW. 05, BARENG LOR, KEC. KLATEN UTARA 57431",0272-3359803,,
JAWA TENGAH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,LABORATORIUM PRIMA DIAGNOSTIKA,"JL MERBABU NO 34 RT. 01/RW. 12, KABUPATEN, KEC. KLATEN TENGAH 57413",0272-329455,,
JAWA TENGAH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,PKU MUHAMMADIYAH,"DK BARAKAN RT. 02/RW. 01, GEDAREN, KEC. JATINOM 57481",0272-337334; 0272-3351988,pkumuhammadiyahjtn@yahoo.co.id,
JAWA TENGAH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,"PRODIA WIDYA HUSADA, PT","JL PRAMUKA 44 RT. 01/RW. 06, TONGGALAN, KEC. KLATEN TENGAH 57412",0272-324082; 0272-324082,klaten@prodia.co.id,www.prodia.co.id
JAWA TENGAH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,R S K B CAWAS ISLAM,"DK TUGU RT. 03/RW. 06, TUGU, KEC. CAWAS 57463",0272-3359222,,
JAWA TENGAH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,"RS CAKRA HUSADA, PT","JL MERBABU NO 7 RT. 02/RW. 03, GAYAMPRIT, KEC. KLATEN SELATAN 57423",0272-321123,,
JAWA TENGAH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RS ISLAM KLATEN,"JL RAYA SOLO-KLATEN KM 4 RT. 01/RW. 14, BELANG WETAN, KEC. KLATEN UTARA 57436",0272-322252; 0272-332422,informasi@rsislamklaten.co.id,www.rsiislamklaten.co.id
JAWA TENGAH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RS JIWA DR R M SOEDJARWADI,"JL KI PANDANARAN KM 2, DANGURAN, KEC. KLATEN SELATAN 57461",0272-321923; 0272-321418,rsjdsoedjarwadi@yahoo.co.id,www.rsjd-klaten.com
JAWA TENGAH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RS KB IPHI PEDAM,"NGRENDENG RT. 01/RW. 05, SOBAYAN, KEC. PEDAN",0272-897796,,
JAWA TENGAH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RSIA ALSYIYAH KLATEN,"JL PRAMUKA 8 RT. 03/RW. 02, TONGGALAN, KEC. KLATEN TENGAH 57412",0272-320566; 0272-328440,rsia.klt@gmail.com,
JAWA TENGAH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RSK BEDAH DIPONEGORO 21,"JL DIPONEGORO NO 21 RT. 05/RW. 09, KARANGANOM, KEC. KLATEN UTARA 57438",0272-321435; 0272-322273,rskbdiponegoro@yahoo.co.id,www.rs_diponegoroduasatu.com
JAWA TENGAH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RSU MITRA KELUARGA HUSADA,"GATAK KEDUNGAN PEDAN RT. 02/RW. 04, KEDUNGAN, KEC. PEDAN 57468",,,
JAWA TENGAH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RUMAH SAKIT BAGAS WARAS,"JL IR SOEKARNO, BUNTALAN, KEC. KLATEN TENGAH 57419",,,
JAWA TENGAH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RUMAH SAKIT PKU MUHAMMADIYAH,"JL RAYA DELANGGU UTARA NO 19 RT. 01/RW. 07, GATAK, KEC. DELANGGU 57471",0272-551051,humaspkudelanggu@gmail.com,
JAWA TENGAH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RUMAH SAKIT REJOSARI HUSADA,"JL DELANGGU COKRO RT. 03/RW. 08, SABRANG, KEC. DELANGGU 57471",0272-532275,rejosari-husada@yahoo.com,
JAWA TENGAH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,APOTEK GUARDIAN,"HARTONO MALL LANTAL 6F RT. 05/RW. 04, MADEGONDO, KEC. GROGOL 57552",0271-7890905,,
JAWA TENGAH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,KLINIK LAB KIMIA FARMA,"JETIS, KEC. SUKOHARJO",,,
JAWA TENGAH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,"KLINIK PERMATA TRI UTAMA, PT","BALEHARJO RT. 01/RW. 04, BEKONANG, KEC. MOJOLABAN 57554",0271-611593,,
JAWA TENGAH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,LBC,"JL IR SOEKARNO RUKO BISNIS BLOK IC 17, MADEGONDO, KEC. GROGOL 57552",0271-625986,,
JAWA TENGAH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,PRAKTEK DOKTER <HENDRIYANTO>,"SUKOSARI RT. 01/RW. 04, MULUR, KEC. BENDOSARI 57572",,,
JAWA TENGAH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RS ORTOPEDI PROF DR R SOEHARSO SURAKARTA,"MENDUNGAN RT. 03/RW. 03, PABELAN, KEC. KARTASURA 57162",0271-714458; 0271-714058,,
JAWA TENGAH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RSUD SUKOHARJO,"JL DR MUWARDI 71 RT. 2/RW. 7, GAYAM, KEC. SUKOHARJO 57514",0271-593005; 0271-593005,rsud.kabskh@gmail.com,
JAWA TENGAH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RUMAH SAKIT DR OEN SOLO BARU,"KOMP PERUM SOLO BARU RT. 01/RW. 04, GEDANGAN, KEC. GROGOL 57552",0271-620220; 0271-622555,,
JAWA TENGAH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RUMAH SAKIT KARIMA UTAMA,"JL AMARTA 8-10 RT. 02/RW. 04, NGABEYAN, KEC. KARTASURA 57165",0271-783399; 0271-783595,,
JAWA TENGAH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RUMAH SAKIT PKU MUHAMMADIYAH,"POCANGAN RT. 03/RW. 13, KARTASURA, KEC. KARTASURA 57167",0819044713741,,
JAWA TENGAH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RUMAH SAKIT UMUM NIRMALASURI,"NGAGLIK RT. 02/RW. 07, SIDOREJO, KEC. BENDOSARI 57527",,,
JAWA TENGAH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,YAYASAN WAKAF RUMAH SAKIT ISLAM SURAKARTA,"JL AHMAD YANI RT. 03/RW. 03, PABELAN, KEC. KARTASURA 57162",0271-710571 Ext: 2231; 0271-710572,info@rsislamsurakarta.com,
JAWA TENGAH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,"MARGA HUSADA BAKTI, PT","JL LETJEN S PARMAN NO 04 RT. 02/RW. 10, KALIANCAR, KEC. SELOGIRI 57652",0273-321394; 0273-321688,,
JAWA TENGAH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,"MULIA SURGICA, PT","JL RM SAID BRUMBUNG RT. 02/RW. 07, KALIANCAR, KEC. SELOGIRI 57652",0273-5329700; 0273-5329552,rumahsakitmuliahati@yahoo.co.id,
JAWA TENGAH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RS AMAL SEHAT WONOGIRI,"NGERJOPURO SLOGOHIMO RT. 03/RW. 03, SLOGOHIMO, KEC. SLOGOHIMO 57694",0273-5316677; 0273-5316677,,
JAWA TENGAH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RS MUHAMMADIYAH SELOGIRI WONOGIRI,"JL LAMA NAMBAMGAN SELOGIRI DSN BULAK RT. 02/RW. 04, NAMBANGAN, KEC. SELOGIRI 57652",0273-322624; 0273-5327504,muhammadiyahwonogiri@yahoo.co.id,
JAWA TENGAH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RSUD,"JL AHMAD YANI NO 40 RT. 03/RW. 04, GIRIWONO, KEC. WONOGIRI 57613",0273-321008; 0273-321042,,
JAWA TENGAH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RUMAH SAKIT ASTRINI,"JL BRIGJEND KATAMSO, KALIANCAR, KEC. SELOGIRI 57652",0273-322864; 0273-5328948,,
JAWA TENGAH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RUMAH SAKIT FITRI CANDRA,"JL BRIGJEND KATAMSO, KALIANCAR, KEC. SELOGIRI 57652",0273-5328899,,
JAWA TENGAH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RUMAH SAKIT MEDIKA MULYA,"JATIBEDUG RT. 01/RW. 07, PURWOREJO, KEC. WONOGIRI 57651",0273-5327365,,
JAWA TENGAH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,APOTIK JATEN,"TEGAL RT. 03/RW. 01, JATEN, KEC. JATEN",0271-817677,,
JAWA TENGAH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,BIDAN BERSALIN DEVALISHA,"JL LAWU RT. 01/RW. 01, TEGALGEDE, KEC. KARANGANYAR 57714",0271-6499001,,
JAWA TENGAH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,KLINIK DOKTER UMUM WIDODO HUSODO,"JL RAYA SOLO SRAGEN KM 15 RT. 02/RW. 04, PULOSARI, KEC. KEBAKKRAMAT 57762",,,
JAWA TENGAH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RS PKU MUHAMMADIYAH KARANGANYAR,"DSN PAPAHAN RT. 06/RW. 07, PAPAHAN, KEC. TASIKMADU 57722",0271-494019; 0271-495389,rspkumuhammadiyah@yahoo.com,
JAWA TENGAH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RSIA DIAN PERTIWI,"JL RAYA SOLO KARANGANYAR KM 11 RT. 02/RW. 01, PAPAHAN, KEC. TASIKMADU 57761",0271-494829,rs.dianpertiwi@ymail.com,
JAWA TENGAH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RSUD KARANGANYAR,"JENGGLONG BEJEN RT. 02/RW. 01, BEJEN, KEC. KARANGANYAR 57716",087835285963,,
JAWA TENGAH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RUMAH SAKIT JAFAR MEDIKA,"MUNGGUR KULON RT. 09/RW. 04, MUNGGUR, KEC. MOJOGEDANG 57752",085762784375,,
JAWA TENGAH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RUMAH SAKIT JATI HUSADA,"JL RAYA SOLO-TAWANGMANGU KM 10,3 RT. 04/RW. 05, JATI, KEC. JATEN 57731",0271-6496918; 0271-821910,,
JAWA TENGAH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,KLINIK BERSALIN PERMATA HATI,"JL LETJEND SUTOYO NO 618 RT. 36/RW. 11, SRAGEN WETAN, KEC. SRAGEN 57214",0271-891165; 0271-891165,permatahatiabadi.hrd@gmail.com,www.permatahatiabadi.com
JAWA TENGAH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,KLINIK SUKOWATI HUSADA,"TAMAN AGUNG RT. 04/RW. 02, NGLOROG, KEC. SRAGEN 57215",0271-8821301,,
JAWA TENGAH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,LABORATORIUM DINAS KESEHATAN SRAGEN,"JL RAYA SUKOWATI BELORAN RT. 03/RW. 12, SRAGEN KULON, KEC. SRAGEN 57212",,,
JAWA TENGAH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,"LAPI, PT CAB SRAGEN","JL SUMBAWA NO 29 RT. 36/RW. 11, SRAGEN WETAN, KEC. SRAGEN 57214",0271-895177; 0271-895177,,
JAWA TENGAH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,"PRODIA WIDIA HUSADA, PT","JL KOLONEL SUGIONO NO 8 WIDORO RT. 42/RW. 13, SRAGEN WETAN, KEC. SRAGEN 57214",0271-890263; 0271-890263,,
JAWA TENGAH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RS SARILA HUSADA,"KROYO, KEC. KARANGMALANG",,,
JAWA TENGAH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RSI AMAL SEHAT,"JL VETERAN NO 35, KROYO, KEC. KARANGMALANG",0271-891977,,
JAWA TENGAH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RSI YAKSSI,"BOGOREJO RT. 20/RW. 03, KRAGILAN, KEC. GEMOLONG 57274",0271-6891336; 0271-6811336,rsuiyakssi_gml@yahoo.co.id,
JAWA TENGAH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RSIA DENTATAMA,"JL PERINTIS KEMERDEKAAN NO 6 RT. 03/RW. 10, NGLOROG, KEC. SRAGEN 57215",0271-892098,rsiadentatama@gmail.com,
JAWA TENGAH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RSIA RESTU IBU,"DK BENDUNGAN RT. 13, PILANGSARI, KEC. NGRAMPAL 57252",0271-894584; 0271-891424,,
JAWA TENGAH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RSU ASSALAM,"SIDOMULYO RT. 01/RW. 01, NGEMBAT PADAS, KEC. GEMOLONG 57274",,,
JAWA TENGAH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RSUD DR SOERATNO GEMOLONG,"GEMOLONG, KEC. GEMOLONG",0271-6811839,,
JAWA TENGAH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RSUD DR. SOEHADI PRIJONEGORO,"JL RAYA SUKOWATI NO534 RT. 3/RW. 10, NGLOROG, KEC. SRAGEN 57215",0271-891068; 0271-890158,rsudsragen1958@gmail.com,
JAWA TENGAH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RUMAH SAKIT <HASTUTI>,"JL RAYA RA KARTINI CANDI BARU RT. 34/RW. 02, PLUMBUNGAN, KEC. KARANGMALANG 57222",,,
JAWA TENGAH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RUMAH SAKIT MARDI LESTARI,"JL ROKAN NO 8 MAGERU RT. 01/RW. 04, SRAGEN TENGAH, KEC. SRAGEN 57211",0271-891033; 0271-854535,,
JAWA TENGAH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,KLINIK PRATAMA RAWAT INAP MARDI KARYA,"MAGER SARI RT. 02/RW. 04, WIROSARI, KEC. WIROSARI 58192",,,
JAWA TENGAH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RB SEDADI HUSADA,"DSN KRAJAN RT. 06/RW. 01, SEDADI, KEC. PENAWANGAN 58161",08708085605,,
JAWA TENGAH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RS PERMATA BUNDA,"JL HAYAM WURUK NO24 RT. 01/RW. 06, KALONGAN, KEC. PURWODADI",0292-422838,rspermatabunja@yahoo.co.id,www.permatabunda.co.id
JAWA TENGAH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RSU DR. R.SOEDJATI SOEMODIARDJO,"JL D.I PANJAITAN 36 RT. 04/RW. 14, PURWODADI, KEC. PURWODADI 58111",0292-424025; 0292-421410,rsud_soedjati@yahoo.com,
JAWA TENGAH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RSU PKU MUHAMMADIYAH,"KP MARGOSARI RT. 01/RW. 02, KUWARON, KEC. GUBUG 58164",0292-5353102,,
JAWA TENGAH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RUMAH SAKIT ISLAM PURWOOADI,"JL DR SUTOMO NO9 RT. 06/RW. 08, KALONGAN, KEC. PURWODADI 58114",0292-422199,,
JAWA TENGAH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RUMAH SAKIT PANTI RAHAYU YAKKUM,"JL R SUPRAPTO RT. 04/RW. 12, PURWODADI, KEC. PURWODADI 58111",0292-421057,,
JAWA TENGAH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RUMAH SAKIT UMUM HABIBULLAH,"JL RAYA TAHUNAN RT. 05/RW. 02, TAHUNAN, KEC. GABUS 58183",0292-5160477; 0292-5160477,,
